bggid;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image;other_names;name
177524;862;2;4;30;30;https://cf.geekdo-images.com/jvfSbTGin9ZUioW4Rpi4Pw__thumb/img/b6he0ibAdBGM7T_lj918HG1aSbg=/fit-in/200x150/filters:strip_icc()/pic2937209.png;https://cf.geekdo-images.com/jvfSbTGin9ZUioW4Rpi4Pw__original/img/1j708hfK5WHX-9A_ym9eTXenY6Q=/0x0/filters:format(png)/pic2937209.png;"[""Escuela de Ping\u00fcinos""; ""Ice Cool: Cursa Pinguinilor""; ""IceCool: ledov\u00e1 \u0161kola""; ""\u03a0\u03b1\u03b3\u03bf\u03b4\u03c1\u03bf\u03bc\u03af\u03b5\u03c2""; ""\u0410\u0439\u0441-\u043a\u043b\u0430\u0441\u0441""; ""\u0412\u0438\u043a\u0440\u0443\u0442\u0430\u0439\u0441""; ""\u30a2\u30a4\u30b9\u30af\u30fc\u30eb \u65e5\u672c\u8a9e\u7248""; ""\u51b0\u9177\u4f01\u9d5d""; ""\uc544\uc774\uc2a4 \ucfe8""]";ICECOOL
13780;1190;2;4;90;90;https://cf.geekdo-images.com/TkRov013PZd7vykW4YPIeQ__thumb/img/vvtL0OQbHfYSO3NP6Bxh9HCff0k=/fit-in/200x150/filters:strip_icc()/pic202677.jpg;https://cf.geekdo-images.com/TkRov013PZd7vykW4YPIeQ__original/img/TLhiVxJFPLNcDEUZkprcXu-vaDs=/0x0/filters:format(jpeg)/pic202677.jpg;"[""Im Schatten des Kaisers""; ""Kaiser""; ""Shadow of the Emperor""]";In the Shadow of the Emperor
161882;1044;3;5;60;60;https://cf.geekdo-images.com/KyuNY56jg-H1Xu5H8fERLQ__thumb/img/o-TcRMg-gygBfTsQMtamJtcEK14=/fit-in/200x150/filters:strip_icc()/pic4587356.jpg;https://cf.geekdo-images.com/KyuNY56jg-H1Xu5H8fERLQ__original/img/iWsS1DTnJRdseckWdod-xWpdaks=/0x0/filters:format(jpeg)/pic4587356.jpg;[];Irish Gauge
148949;117;2;5;40;60;https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__thumb/img/Vzpg3sdeAbCy0IxSAoh1aH9nvDE=/fit-in/200x150/filters:strip_icc()/pic1885326.jpg;https://cf.geekdo-images.com/PHH9Mreen2sBcxV6ZsE3ew__original/img/pHIJibqf-DmlOQD3CfT_rAjGmc0=/0x0/filters:format(jpeg)/pic1885326.jpg;"[""\u0421\u0442\u0430\u043c\u0431\u0443\u043b""; ""\u30a4\u30b9\u30bf\u30f3\u30d6\u30fc\u30eb""; ""\u4f0a\u65af\u5766\u5821""]";Istanbul
285792;9990;2;4;45;90;https://cf.geekdo-images.com/ra-YCGj9UwXnDfukaQtztw__thumb/img/NbLQDwBIcbiUwUHeLXONhRA6mEw=/fit-in/200x150/filters:strip_icc()/pic4878136.png;https://cf.geekdo-images.com/ra-YCGj9UwXnDfukaQtztw__original/img/rk30BtdAg0dXifAu2Dr9o1BfKYw=/0x0/filters:format(png)/pic4878136.png;[];Jigūan: The Eastern Mechanist
109276;176;2;4;90;120;https://cf.geekdo-images.com/rzSmS-GD8_pGl9bWo07FWQ__thumb/img/jo2betPcpo8mVZPIs993TT_nOMo=/fit-in/200x150/filters:strip_icc()/pic5638431.jpg;https://cf.geekdo-images.com/rzSmS-GD8_pGl9bWo07FWQ__original/img/TFtpuGRO0cbVjWl03YhtzTBRk5A=/0x0/filters:format(jpeg)/pic5638431.jpg;"[""Kanban: Automotive Revolution""]";Kanban: Driver's Edition
252446;1530;2;6;45;75;https://cf.geekdo-images.com/1o7i-hnpCiWC45QUnSOAgA__thumb/img/SyQQsxeI4PP3qaJk1q-ItgR6e3M=/fit-in/200x150/filters:strip_icc()/pic4264435.jpg;https://cf.geekdo-images.com/1o7i-hnpCiWC45QUnSOAgA__original/img/AmohYe_ob-CFkpCntm282LAJNJE=/0x0/filters:format(jpeg)/pic4264435.jpg;[];Key Flow
275067;3849;2;4;90;90;https://cf.geekdo-images.com/VhwMnTvSJu5sFZ7UUDEUVQ__thumb/img/S9TndZPGZzrEn-PsGirLwLAfziQ=/fit-in/200x150/filters:strip_icc()/pic4873750.jpg;https://cf.geekdo-images.com/VhwMnTvSJu5sFZ7UUDEUVQ__original/img/_HOwZnqIB3G_cVAXLX8NivOXZrg=/0x0/filters:format(jpeg)/pic4873750.jpg;[];Key Market (Second Edition)
205507;1879;2;6;90;120;https://cf.geekdo-images.com/KOx2N4eRuY45SWvzFL8_7g__thumb/img/g3Fu9UEH_S_2Ci7OUQ8cDz2sxP0=/fit-in/200x150/filters:strip_icc()/pic3145313.jpg;https://cf.geekdo-images.com/KOx2N4eRuY45SWvzFL8_7g__original/img/t2_w9ybfEOUIz8iwP1zmeR9WXCE=/0x0/filters:format(jpeg)/pic3145313.jpg;[];Key to the City: London
107529;544;2;4;45;45;https://cf.geekdo-images.com/kJOP_BICVX-88sKqFRh9PQ__thumb/img/KwrWpSRncnCE0cEldldyVQ-0Cdk=/fit-in/200x150/filters:strip_icc()/pic1152359.jpg;https://cf.geekdo-images.com/kJOP_BICVX-88sKqFRh9PQ__original/img/2m6YJhA3JbYe1cNhybRtFJrRECw=/0x0/filters:format(jpeg)/pic1152359.jpg;"[""Kr\u00f3lestwo w Budowie""]";Kingdom Builder
193512;3031;2;4;60;90;https://cf.geekdo-images.com/uyve-F_qWpc8rZDe-94OPw__thumb/img/huKyWatE-0MA58ZcK1mdwZ4vtuc=/fit-in/200x150/filters:strip_icc()/pic4253044.jpg;https://cf.geekdo-images.com/uyve-F_qWpc8rZDe-94OPw__original/img/r8ZHw5_d-7dmxO8R83VE1OQLnUc=/0x0/filters:format(jpeg)/pic4253044.jpg;[];Kingdom Defenders
135;5849;2;4;60;60;https://cf.geekdo-images.com/JyI-t2UXLqHwWZHMAtqNkw__thumb/img/y3pa1wct8SUFrHm2H9rYe2PO7oY=/fit-in/200x150/filters:strip_icc()/pic239457.jpg;https://cf.geekdo-images.com/JyI-t2UXLqHwWZHMAtqNkw__original/img/LhzJcdZrE7bswH43ZtN52w2-7LI=/0x0/filters:format(jpeg)/pic239457.jpg;"[""Amsterdam""; ""Packhuys""]";Kontor
117854;4240;2;4;60;60;https://cf.geekdo-images.com/lU641U2Y-erTrTqc6fVTTA__thumb/img/jiZqOzk-rRpnsK6xQXcgawvmGWI=/fit-in/200x150/filters:strip_icc()/pic1294074.jpg;https://cf.geekdo-images.com/lU641U2Y-erTrTqc6fVTTA__original/img/cMOB_sh4PhGiZaf4zFazstzUkTY=/0x0/filters:format(jpeg)/pic1294074.jpg;[];Kosmonauts
48;5027;2;4;90;90;https://cf.geekdo-images.com/I1GQofopNwNm8uVKUx0xcw__thumb/img/8ayBjpZNYbEmbq5n9PTP6vbVyHU=/fit-in/200x150/filters:strip_icc()/pic359365.jpg;https://cf.geekdo-images.com/I1GQofopNwNm8uVKUx0xcw__original/img/pDbe19a_y8epNptMnShMGsDkG4Y=/0x0/filters:format(jpeg)/pic359365.jpg;"[""Charlemagne""; ""La Spada e la Fede""]";Krieg und Frieden
